comprimento,altura,largura,amostra
20.11,14.89,4.95,A
20.13,14.86,5.06,A
19.99,15.01,4.97,A
20.06,14.93,4.94,A
19.99,15.01,5.09,A
20.14,14.86,5.02,A
20.11,14.88,4.96,A
19.97,15.03,4.99,A
19.97,15.04,5.09,A
19.98,15.02,5.03,A
19.99,15.01,5.03,A
19.98,15.02,4.99,A
19.95,15.05,5.03,A
19.98,15.02,5.01,A
20.08,14.92,5.03,A
20.07,14.92,5.07,A
20.04,14.97,5.02,A
20.1,14.9,4.95,A
20.04,14.95,5.09,A
20.16,14.82,5.01,A
19.99,15.01,5.1,A
20.05,14.95,4.98,A
19.94,15.06,4.99,A
20.08,14.91,4.97,A
19.94,15.06,4.99,A
20.0,15.0,4.97,A
20.0,15.0,4.92,A
20.05,14.94,5.05,A
20.0,15.0,4.99,A
20.09,14.9,4.97,A
20.03,14.97,5.08,A
20.03,14.97,4.97,A
20.06,14.93,5.06,A
19.96,15.04,4.96,A
19.99,15.01,4.96,A
19.97,15.04,5.02,A
20.0,14.99,5.02,A
20.07,14.93,5.14,A
20.0,15.0,5.03,A
19.98,15.02,4.98,A
20.05,14.95,5.06,A
20.14,14.86,4.92,A
20.16,14.82,5.04,A
20.04,14.96,4.98,A
20.01,14.99,5.06,A
20.09,14.91,5.01,A
19.97,15.03,5.03,A
19.97,15.03,5.03,A
20.05,14.94,5.1,A
19.99,15.01,4.95,A
20.14,14.86,4.98,A
19.97,15.03,5.02,A
20.04,14.95,5.07,A
20.12,14.87,4.96,A
19.93,15.07,5.04,A
19.99,15.01,4.99,A
20.02,14.98,4.96,A
20.01,14.99,4.93,A
19.99,15.01,5.0,A
19.94,15.06,4.99,A
20.13,14.86,5.1,A
20.1,14.9,5.01,A
20.23,14.74,4.98,A
19.96,15.04,4.94,A
20.05,14.95,4.89,A
19.99,15.01,5.0,A
19.96,15.04,4.99,A
20.05,14.95,5.0,A
20.0,15.0,5.05,A
19.98,15.02,4.93,A
20.07,14.92,4.99,A
19.97,15.03,4.96,A
20.19,14.78,4.99,A
19.99,15.01,5.05,A
19.93,15.07,4.99,A
20.02,14.98,5.0,A
20.02,14.99,4.92,A
20.08,14.92,5.04,A
20.06,14.94,4.93,A
19.95,15.05,4.99,A
20.04,14.96,5.02,A
20.02,14.99,5.03,A
20.02,14.98,5.0,A
20.09,14.91,4.95,A
19.99,15.01,4.97,A
19.97,15.03,5.0,A
20.15,14.83,5.07,A
20.11,14.88,5.06,A
19.99,15.01,4.98,A
19.96,15.04,5.05,A
20.1,14.89,5.0,A
20.13,14.86,4.96,A
20.12,14.87,5.03,A
20.11,14.89,5.05,A
19.93,15.07,5.02,A
19.95,15.05,5.01,A
20.08,14.92,5.03,A
19.94,15.06,5.0,A
19.95,15.05,5.02,A
20.08,14.91,5.02,A
19.95,15.05,5.04,A
20.02,14.98,4.97,A
19.97,15.02,5.06,A
19.98,15.02,5.02,A
20.04,14.96,5.07,A
20.03,14.97,5.03,A
19.94,15.07,4.97,A
20.02,14.99,5.1,A
20.02,14.98,5.0,A
19.96,15.04,4.96,A
20.25,14.69,4.96,A
20.13,14.86,5.02,A
20.0,15.0,5.0,A
19.97,15.03,5.02,A
20.04,14.96,4.94,A
19.95,15.05,5.01,A
20.01,14.99,5.03,A
19.96,15.05,4.98,A
20.17,14.81,5.07,A
19.99,15.01,5.07,A
19.97,15.04,4.94,A
20.11,14.89,4.99,A
19.98,15.02,5.07,A
20.02,14.98,4.92,A
20.16,14.82,4.9,A
20.03,14.97,4.93,A
20.1,14.89,5.03,A
20.0,15.0,4.99,A
20.11,14.89,4.97,A
20.11,14.88,4.96,A
20.08,14.91,5.0,A
20.01,14.99,5.01,A
20.02,14.98,5.01,A
20.05,14.95,5.04,A
20.14,14.85,5.01,A
19.99,15.01,5.03,A
20.16,14.83,4.99,A
20.07,14.92,5.09,A
19.98,15.02,5.01,A
20.11,14.89,5.0,A
20.0,15.0,5.05,A
19.95,15.06,5.06,A
19.99,15.01,4.94,A
19.95,15.05,4.97,A
20.0,15.0,5.0,A
19.96,15.04,5.01,A
20.1,14.89,4.95,A
20.1,14.9,5.03,A
20.03,14.97,5.0,A
19.98,15.02,4.98,A
19.95,15.05,5.06,A
20.03,14.97,5.08,A
20.02,14.98,5.09,A
20.09,14.91,4.99,A
19.97,15.02,5.03,A
20.03,14.97,4.99,A
19.98,15.02,4.95,A
20.04,14.96,4.95,A
20.04,14.96,5.01,A
20.07,14.92,5.0,A
19.97,15.03,4.96,A
20.11,14.89,5.01,A
19.99,15.01,4.99,A
20.0,15.0,4.99,A
19.97,15.03,5.05,A
20.07,14.92,4.94,A
20.14,14.86,4.96,A
20.18,14.81,5.0,A
19.96,15.04,4.97,A
19.98,15.02,5.04,A
19.97,15.03,5.03,A
20.08,14.92,4.89,A
20.04,14.96,4.94,A
20.0,15.0,5.04,A
20.04,14.96,5.03,A
20.0,15.0,4.93,A
